date,tree,measurement,probe,freq,err,length
2021-03-22,01,2,Pt3,15.686274509803923,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,Pt4,16.666666666666668,0.1488095238095238,7.1299999999985815
2021-03-22,01,2,BL44,15.686274509803923,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL45,15.126050420168067,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL46,16.106442577030812,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL47,15.126050420168067,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL48,15.686274509803923,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL49,17.02127659574468,0.1519756838905775,7.1299999999985815
2021-03-22,01,2,BL50,44.81054365733113,0.16474464579901152,6.959999999998622
2021-03-22,01,2,BL51,49.84756097560975,0.1524390243902439,6.829999999998641
2021-03-22,01,2,BL52,15.686274509803923,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL53,15.686274509803923,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL54,15.686274509803923,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL55,15.686274509803923,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL56,16.80672268907563,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL57,16.80672268907563,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL58,17.366946778711483,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL59,16.80672268907563,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL60,15.686274509803923,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL61,15.686274509803923,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL62,15.686274509803923,0.1400560224089636,7.1299999999985815
2021-03-22,01,2,BL63,31.49847094801223,0.3058103975535168,3.3499999999993335
2021-03-22,01,2,BL64,2.3952095808383236,0.5988023952095809,2.5199999999995057
2021-03-22,01,2,BL65,7.954545454545455,0.5681818181818182,2.5199999999995057
2021-03-22,01,2,BL66,1.5384615384615383,0.3846153846153846,2.5899999999994847
2021-03-22,01,2,BL67,1.9607843137254903,0.1400560224089636,7.1299999999985815
2021-03-22,01,3,Pt3,1.9543378995433789,0.0182648401826484,54.73999999998911
2021-03-22,01,3,Pt4,1.8895887365690993,0.01852537977028529,54.73999999998911
